gen_count, change_count, dist, prec, iterations, end_fitness
5, 3, 0.5, 999.9999, 10000000, 999.9904360219234
5, 3, 0.5, 999.9999, 10000000, 999.9957566105517
5, 4, 0.5, 700, 28, 718.9425215992374
5, 4, 0.5, 700, 24, 732.0235279388535
5, 4, 0.5, 700, 26, 830.0853670624807
5, 4, 0.5, 700, 17, 709.2337015657811
5, 4, 0.5, 700, 0, 761.8429823688792
5, 4, 0.5, 800, 24, 879.2918756155805
5, 4, 0.5, 800, 30, 800.0515263566559
5, 4, 0.5, 800, 28, 845.7271870459241
5, 4, 0.5, 800, 42, 815.412616380991
5, 4, 0.5, 800, 43, 907.9112870628327
5, 4, 0.5, 999, 30719, 999.7451922717064
5, 4, 0.5, 999, 29071, 999.514359720786
5, 4, 0.5, 999, 71703, 999.67067573267
5, 4, 0.5, 999, 7078, 999.1049755245197
5, 4, 0.5, 999, 5140, 999.5729885198149
5, 4, 0.5, 999.9, 2299383, 999.9168629940581
5, 4, 0.5, 999.9, 7482816, 999.927362676883
5, 4, 0.5, 999.9, 9745096, 999.9486886504236
5, 4, 0.5, 999.9, 5467586, 999.9199642838927
5, 4, 0.5, 999.9, 10000000, 999.8239114053067
5, 4, 0.5, 999.99, 10000000, 999.8349239199631
5, 4, 0.5, 999.99, 10000000, 999.8719843449588
5, 4, 0.5, 999.99, 10000000, 999.931128710788
5, 4, 0.5, 999.99, 10000000, 999.7939309061437
5, 4, 0.5, 999.99, 10000000, 999.9820758335277
5, 4, 0.5, 999.999, 10000000, 999.969278884588
5, 4, 0.5, 999.999, 10000000, 999.7765826984373
5, 4, 0.5, 999.999, 10000000, 999.9323910049028
5, 4, 0.5, 999.999, 10000000, 999.9429682497109
5, 4, 0.5, 999.999, 10000000, 999.7828104793543
5, 4, 0.5, 999.9999, 10000000, 999.9142588990688
5, 4, 0.5, 999.9999, 10000000, 999.9058090016661
5, 4, 0.5, 999.9999, 10000000, 999.9204318880655
5, 4, 0.5, 999.9999, 10000000, 999.9524749516645
5, 4, 0.5, 999.9999, 10000000, 999.8733047243676
5, 1, 0.25, 700, 68, 711.924810897185
5, 1, 0.25, 700, 64, 707.5978859140048
5, 1, 0.25, 700, 76, 732.9422844875897
5, 1, 0.25, 700, 46, 742.981534258502
5, 1, 0.25, 700, 72, 707.2078287609586
5, 1, 0.25, 800, 97, 829.4649552116318
5, 1, 0.25, 800, 65, 848.6594129481309
5, 1, 0.25, 800, 90, 808.3333306762181
5, 1, 0.25, 800, 85, 816.1606635424425
5, 1, 0.25, 800, 27, 820.0939498971045
5, 1, 0.25, 999, 144, 999.6313582740768
5, 1, 0.25, 999, 176, 999.3295786410199
5, 1, 0.25, 999, 147, 999.2587597476454
5, 1, 0.25, 999, 130, 999.0433208268246
5, 1, 0.25, 999, 138, 999.3592534708147
5, 1, 0.25, 999.9, 287, 999.9126141742523
5, 1, 0.25, 999.9, 299, 999.9107918323892
5, 1, 0.25, 999.9, 487, 999.9063680130814
5, 1, 0.25, 999.9, 247, 999.9195677575137
5, 1, 0.25, 999.9, 151, 999.9034660707601
5, 1, 0.25, 999.99, 655, 999.9951133054763
5, 1, 0.25, 999.99, 1590, 999.9935933719065
5, 1, 0.25, 999.99, 987, 999.9947683082364
